07:44- 24404010309 还需：27min
07:45- 24404010309 还需：26min
07:46- 24404010309 还需：25min
07:47- 24404010309 还需：24min
07:48- 24404010309 还需：23min
07:49- 24404010309 还需：22min
07:50- 24404010309 还需：21min
07:51- 24404010309 还需：20min
07:52- 24404010309 还需：19min
07:53- 24404010309 还需：18min
07:54- 24404010309 还需：17min
07:55- 24404010309 还需：16min
07:56- 24404010309 还需：15min
07:57- 24404010309 还需：14min
07:58- 24404010309 还需：13min
07:59- 24404010309 还需：12min
08:00- 24404010309 还需：11min
08:01- 24404010309 还需：10min
08:02- 24404010309 还需：09min
08:03- 24404010309 还需：08min
08:04- 24404010309 还需：07min
08:05- 24404010309 还需：06min
08:06- 24404010309 还需：05min
08:07- 24404010309 还需：04min
08:08- 24404010309 还需：03min
08:09- 24404010309 还需：02min
08:10- 24404010309 还需：01min
08:11- 24404010309 还需：00min
08:12- 24404010309 结束结果：操作成功
2025-11-29 09:48:03 - redrun - DEBUG - 报名请求已发送
2025-11-29 10:01:55 - redrun - INFO - 24403010317 还需：18min
2025-11-29 10:01:55 - redrun - INFO - 22610099212 还需：17min
2025-11-29 10:01:58 - redrun - INFO - 24402050319 还需：18min
2025-11-29 10:02:55 - redrun - INFO - 24403010326 还需：17min
2025-11-29 10:02:55 - redrun - INFO - 22610099214 还需：16min
2025-11-29 10:02:55 - redrun - INFO - 22610099212 还需：16min
2025-11-29 10:02:55 - redrun - INFO - 24403010317 还需：17min
2025-11-29 10:02:58 - redrun - INFO - 24402050319 还需：17min
2025-11-29 10:03:55 - redrun - INFO - 22610099214 还需：15min
2025-11-29 10:03:55 - redrun - INFO - 24403010326 还需：16min
2025-11-29 10:03:55 - redrun - INFO - 22610099212 还需：15min
2025-11-29 10:03:55 - redrun - INFO - 24403010317 还需：16min
2025-11-29 10:03:58 - redrun - INFO - 24402050319 还需：16min
2025-11-29 10:04:55 - redrun - INFO - 22610099214 还需：14min
2025-11-29 10:04:55 - redrun - INFO - 22610099212 还需：14min
2025-11-29 10:04:55 - redrun - INFO - 24403010326 还需：15min
2025-11-29 10:04:55 - redrun - INFO - 24403010317 还需：15min
2025-11-29 10:04:58 - redrun - INFO - 24402050319 还需：15min
2025-11-29 10:05:55 - redrun - INFO - 22610099214 还需：13min
2025-11-29 10:05:55 - redrun - INFO - 22610099212 还需：13min
2025-11-29 10:05:55 - redrun - INFO - 24403010317 还需：14min
2025-11-29 10:05:55 - redrun - INFO - 24403010326 还需：14min
2025-11-29 10:05:58 - redrun - INFO - 24402050319 还需：14min
2025-11-29 10:06:55 - redrun - INFO - 22610099212 还需：12min
2025-11-29 10:06:55 - redrun - INFO - 22610099214 还需：12min
2025-11-29 10:06:56 - redrun - INFO - 24403010326 还需：13min
2025-11-29 10:06:56 - redrun - INFO - 24403010317 还需：13min
2025-11-29 10:06:58 - redrun - INFO - 24402050319 还需：13min
2025-11-29 10:07:56 - redrun - INFO - 22610099214 还需：11min
2025-11-29 10:07:56 - redrun - INFO - 22610099212 还需：11min
2025-11-29 10:07:56 - redrun - INFO - 24403010326 还需：12min
2025-11-29 10:07:56 - redrun - INFO - 24403010317 还需：12min
2025-11-29 10:07:58 - redrun - INFO - 24402050319 还需：12min
2025-11-29 10:08:56 - redrun - INFO - 22610099214 还需：10min
2025-11-29 10:08:56 - redrun - INFO - 22610099212 还需：10min
2025-11-29 10:08:56 - redrun - INFO - 24403010326 还需：11min
2025-11-29 10:08:56 - redrun - INFO - 24403010317 还需：11min
2025-11-29 10:08:58 - redrun - INFO - 24402050319 还需：11min
2025-11-29 10:09:56 - redrun - INFO - 22610099214 还需：09min
2025-11-29 10:09:56 - redrun - INFO - 22610099212 还需：09min
2025-11-29 10:09:56 - redrun - INFO - 24403010326 还需：10min
2025-11-29 10:09:56 - redrun - INFO - 24403010317 还需：10min
2025-11-29 10:09:58 - redrun - INFO - 24402050319 还需：10min
2025-11-29 10:10:56 - redrun - INFO - 22610099214 还需：08min
2025-11-29 10:10:56 - redrun - INFO - 22610099212 还需：08min
2025-11-29 10:10:56 - redrun - INFO - 24403010326 还需：09min
2025-11-29 10:10:56 - redrun - INFO - 24403010317 还需：09min
2025-11-29 10:10:58 - redrun - INFO - 24402050319 还需：09min
2025-11-29 10:11:56 - redrun - INFO - 22610099214 还需：07min
2025-11-29 10:11:56 - redrun - INFO - 22610099212 还需：07min
2025-11-29 10:11:56 - redrun - INFO - 24403010326 还需：08min
2025-11-29 10:11:56 - redrun - INFO - 24403010317 还需：08min
2025-11-29 10:11:58 - redrun - INFO - 24402050319 还需：08min
2025-11-29 10:12:55 - redrun - INFO - 24403010326 还需：07min
2025-11-29 10:12:55 - redrun - INFO - 24403010317 还需：07min
2025-11-29 10:12:56 - redrun - INFO - 22610099214 还需：06min
2025-11-29 10:12:56 - redrun - INFO - 22610099212 还需：06min
2025-11-29 10:12:58 - redrun - INFO - 24402050319 还需：07min
2025-11-29 10:13:55 - redrun - INFO - 22610099214 还需：05min
2025-11-29 10:13:55 - redrun - INFO - 22610099212 还需：05min
2025-11-29 10:13:55 - redrun - INFO - 24403010326 还需：06min
2025-11-29 10:13:55 - redrun - INFO - 24403010317 还需：06min
2025-11-29 10:13:58 - redrun - INFO - 24402050319 还需：06min
2025-11-29 10:14:55 - redrun - INFO - 22610099214 还需：04min
2025-11-29 10:14:55 - redrun - INFO - 22610099212 还需：04min
2025-11-29 10:14:55 - redrun - INFO - 24403010326 还需：05min
2025-11-29 10:14:55 - redrun - INFO - 24403010317 还需：05min
2025-11-29 10:14:57 - redrun - INFO - 24402050319 还需：05min
2025-11-29 10:15:55 - redrun - INFO - 22610099214 还需：03min
2025-11-29 10:15:55 - redrun - INFO - 22610099212 还需：03min
2025-11-29 10:15:55 - redrun - INFO - 24403010326 还需：04min
2025-11-29 10:15:55 - redrun - INFO - 24403010317 还需：04min
2025-11-29 10:15:57 - redrun - INFO - 24402050319 还需：04min
2025-11-29 10:16:55 - redrun - INFO - 24403010326 还需：03min
2025-11-29 10:16:55 - redrun - INFO - 22610099214 还需：02min
2025-11-29 10:16:55 - redrun - INFO - 22610099212 还需：02min
2025-11-29 10:16:55 - redrun - INFO - 24403010317 还需：03min
2025-11-29 10:16:57 - redrun - INFO - 24402050319 还需：03min
2025-11-29 10:17:55 - redrun - INFO - 22610099212 还需：01min
2025-11-29 10:17:55 - redrun - INFO - 24403010326 还需：02min
2025-11-29 10:17:55 - redrun - INFO - 22610099214 还需：01min
2025-11-29 10:17:55 - redrun - INFO - 24403010317 还需：02min
2025-11-29 10:17:57 - redrun - INFO - 24402050319 还需：02min
2025-11-29 10:18:55 - redrun - INFO - 22610099214 还需：00min
2025-11-29 10:18:55 - redrun - INFO - 22610099212 还需：00min
2025-11-29 10:18:55 - redrun - INFO - 24403010326 还需：01min
2025-11-29 10:18:55 - redrun - INFO - 24403010317 还需：01min
2025-11-29 10:18:57 - redrun - INFO - 24402050319 还需：01min
2025-11-29 10:19:01 - redrun - INFO - 22610099214 结束结果：操作成功
2025-11-29 10:19:02 - redrun - INFO - 22610099214 已记录完成信息
2025-11-29 10:19:12 - redrun - INFO - 22610099212 结束结果：操作成功
2025-11-29 10:19:13 - redrun - INFO - 22610099212 已记录完成信息
2025-11-29 10:19:55 - redrun - INFO - 24403010326 还需：00min
2025-11-29 10:19:55 - redrun - INFO - 24403010317 还需：00min
2025-11-29 10:19:58 - redrun - INFO - 24402050319 还需：00min
2025-11-29 10:20:03 - redrun - INFO - 24403010317 结束结果：操作成功
2025-11-29 10:20:04 - redrun - INFO - 24403010317 已记录完成信息
2025-11-29 10:20:43 - redrun - INFO - 24403010326 结束结果：操作成功
2025-11-29 10:20:44 - redrun - INFO - 24403010326 已记录完成信息
2025-11-29 10:20:45 - redrun - INFO - 24402050319 结束结果：操作成功
2025-11-29 10:20:46 - redrun - INFO - 24402050319 已记录完成信息
2025-11-29 10:20:46 - redrun - INFO - 批次处理完成
2025-11-29 14:04:30 - redrun - INFO - 开始处理批次，账号数：5
2025-11-29 14:04:30 - redrun - DEBUG - 报名请求已发送
2025-11-29 14:04:30 - redrun - DEBUG - 报名请求已发送
2025-11-29 14:04:30 - redrun - DEBUG - 报名请求已发送
2025-11-29 14:04:31 - redrun - INFO - 24408010206 还需：26min
2025-11-29 14:04:31 - redrun - INFO - 24408010203 还需：26min
2025-11-29 14:04:31 - redrun - INFO - 24408010218 还需：26min
2025-11-29 14:04:32 - redrun - DEBUG - 报名请求已发送
2025-11-29 14:04:32 - redrun - DEBUG - 报名请求已发送
2025-11-29 14:04:32 - redrun - INFO - 22610099211 还需：26min
2025-11-29 14:04:32 - redrun - INFO - 22610099012 还需：26min
2025-11-29 14:05:31 - redrun - INFO - 24408010203 还需：25min
2025-11-29 14:05:31 - redrun - INFO - 24408010218 还需：25min
2025-11-29 14:05:31 - redrun - INFO - 24408010206 还需：25min
2025-11-29 14:05:32 - redrun - INFO - 22610099211 还需：25min
2025-11-29 14:05:32 - redrun - INFO - 22610099012 还需：25min
2025-11-29 14:06:31 - redrun - INFO - 24408010203 还需：24min
2025-11-29 14:06:31 - redrun - INFO - 24408010218 还需：24min
2025-11-29 14:06:31 - redrun - INFO - 24408010206 还需：24min
2025-11-29 14:06:32 - redrun - INFO - 22610099211 还需：24min
2025-11-29 14:06:32 - redrun - INFO - 22610099012 还需：24min
2025-11-29 14:07:31 - redrun - INFO - 24408010218 还需：23min
2025-11-29 14:07:31 - redrun - INFO - 24408010203 还需：23min
2025-11-29 14:07:31 - redrun - INFO - 24408010206 还需：23min
2025-11-29 14:07:32 - redrun - INFO - 22610099211 还需：23min
2025-11-29 14:07:32 - redrun - INFO - 22610099012 还需：23min
2025-11-29 14:08:31 - redrun - INFO - 24408010218 还需：22min
2025-11-29 14:08:31 - redrun - INFO - 24408010203 还需：22min
2025-11-29 14:08:31 - redrun - INFO - 24408010206 还需：22min
2025-11-29 14:08:32 - redrun - INFO - 22610099211 还需：22min
2025-11-29 14:08:32 - redrun - INFO - 22610099012 还需：22min
2025-11-29 14:09:31 - redrun - INFO - 24408010218 还需：21min
2025-11-29 14:09:31 - redrun - INFO - 24408010203 还需：21min
2025-11-29 14:09:31 - redrun - INFO - 24408010206 还需：21min
2025-11-29 14:09:32 - redrun - INFO - 22610099211 还需：21min
2025-11-29 14:09:32 - redrun - INFO - 22610099012 还需：21min
2025-11-29 14:10:31 - redrun - INFO - 24408010218 还需：20min
2025-11-29 14:10:31 - redrun - INFO - 24408010203 还需：20min
2025-11-29 14:10:31 - redrun - INFO - 24408010206 还需：20min
2025-11-29 14:10:32 - redrun - INFO - 22610099211 还需：20min
2025-11-29 14:10:33 - redrun - INFO - 22610099012 还需：20min
2025-11-29 14:11:31 - redrun - INFO - 24408010218 还需：19min
2025-11-29 14:11:31 - redrun - INFO - 24408010203 还需：19min
2025-11-29 14:11:31 - redrun - INFO - 24408010206 还需：19min
2025-11-29 14:11:33 - redrun - INFO - 22610099211 还需：19min
2025-11-29 14:11:33 - redrun - INFO - 22610099012 还需：19min
2025-11-29 14:12:31 - redrun - INFO - 24408010203 还需：18min
2025-11-29 14:12:31 - redrun - INFO - 24408010218 还需：18min
2025-11-29 14:12:31 - redrun - INFO - 24408010206 还需：18min
2025-11-29 14:12:33 - redrun - INFO - 22610099211 还需：18min
2025-11-29 14:12:33 - redrun - INFO - 22610099012 还需：18min
2025-11-29 14:13:31 - redrun - INFO - 24408010203 还需：17min
2025-11-29 14:13:31 - redrun - INFO - 24408010218 还需：17min
2025-11-29 14:13:31 - redrun - INFO - 24408010206 还需：17min
2025-11-29 14:13:33 - redrun - INFO - 22610099211 还需：17min
2025-11-29 14:13:33 - redrun - INFO - 22610099012 还需：17min
2025-11-29 14:14:31 - redrun - INFO - 24408010203 还需：16min
2025-11-29 14:14:31 - redrun - INFO - 24408010218 还需：16min
2025-11-29 14:14:31 - redrun - INFO - 24408010206 还需：16min
2025-11-29 14:14:33 - redrun - INFO - 22610099211 还需：16min
2025-11-29 14:14:33 - redrun - INFO - 22610099012 还需：16min
2025-11-29 14:15:31 - redrun - INFO - 24408010203 还需：15min
2025-11-29 14:15:31 - redrun - INFO - 24408010218 还需：15min
2025-11-29 14:15:31 - redrun - INFO - 24408010206 还需：15min
2025-11-29 14:15:33 - redrun - INFO - 22610099211 还需：15min
2025-11-29 14:15:33 - redrun - INFO - 22610099012 还需：15min
2025-11-29 14:16:31 - redrun - INFO - 24408010218 还需：14min
2025-11-29 14:16:31 - redrun - INFO - 24408010203 还需：14min
2025-11-29 14:16:31 - redrun - INFO - 24408010206 还需：14min
2025-11-29 14:16:33 - redrun - INFO - 22610099211 还需：14min
2025-11-29 14:16:33 - redrun - INFO - 22610099012 还需：14min
2025-11-29 14:17:31 - redrun - INFO - 24408010203 还需：13min
2025-11-29 14:17:31 - redrun - INFO - 24408010218 还需：13min
2025-11-29 14:17:31 - redrun - INFO - 24408010206 还需：13min
2025-11-29 14:17:33 - redrun - INFO - 22610099211 还需：13min
2025-11-29 14:17:33 - redrun - INFO - 22610099012 还需：13min
2025-11-29 14:18:31 - redrun - INFO - 24408010218 还需：12min
2025-11-29 14:18:31 - redrun - INFO - 24408010203 还需：12min
2025-11-29 14:18:31 - redrun - INFO - 24408010206 还需：12min
2025-11-29 14:18:33 - redrun - INFO - 22610099012 还需：12min
2025-11-29 14:18:33 - redrun - INFO - 22610099211 还需：12min
2025-11-29 14:19:31 - redrun - INFO - 24408010203 还需：11min
2025-11-29 14:19:31 - redrun - INFO - 24408010218 还需：11min
2025-11-29 14:19:31 - redrun - INFO - 24408010206 还需：11min
2025-11-29 14:19:33 - redrun - INFO - 22610099211 还需：11min
2025-11-29 14:19:33 - redrun - INFO - 22610099012 还需：11min
2025-11-29 14:20:31 - redrun - INFO - 24408010203 还需：10min
2025-11-29 14:20:31 - redrun - INFO - 24408010218 还需：10min
2025-11-29 14:20:31 - redrun - INFO - 24408010206 还需：10min
2025-11-29 14:20:33 - redrun - INFO - 22610099211 还需：10min
2025-11-29 14:20:33 - redrun - INFO - 22610099012 还需：10min
2025-11-29 14:21:31 - redrun - INFO - 24408010203 还需：09min
2025-11-29 14:21:31 - redrun - INFO - 24408010218 还需：09min
2025-11-29 14:21:31 - redrun - INFO - 24408010206 还需：09min
2025-11-29 14:21:33 - redrun - INFO - 22610099211 还需：09min
2025-11-29 14:21:33 - redrun - INFO - 22610099012 还需：09min
2025-11-29 14:22:31 - redrun - INFO - 24408010218 还需：08min
2025-11-29 14:22:31 - redrun - INFO - 24408010203 还需：08min
2025-11-29 14:22:31 - redrun - INFO - 24408010206 还需：08min
2025-11-29 14:22:33 - redrun - INFO - 22610099211 还需：08min
2025-11-29 14:22:33 - redrun - INFO - 22610099012 还需：08min
2025-11-29 14:23:31 - redrun - INFO - 24408010203 还需：07min
2025-11-29 14:23:31 - redrun - INFO - 24408010218 还需：07min
2025-11-29 14:23:32 - redrun - INFO - 24408010206 还需：07min
2025-11-29 14:23:33 - redrun - INFO - 22610099211 还需：07min
2025-11-29 14:23:33 - redrun - INFO - 22610099012 还需：07min
2025-11-29 14:24:31 - redrun - INFO - 24408010206 还需：06min
2025-11-29 14:24:32 - redrun - INFO - 24408010218 还需：06min
2025-11-29 14:24:32 - redrun - INFO - 24408010203 还需：06min
2025-11-29 14:24:33 - redrun - INFO - 22610099211 还需：06min
2025-11-29 14:24:33 - redrun - INFO - 22610099012 还需：06min
2025-11-29 14:25:31 - redrun - INFO - 24408010203 还需：05min
2025-11-29 14:25:31 - redrun - INFO - 24408010218 还需：05min
2025-11-29 14:25:31 - redrun - INFO - 24408010206 还需：05min
2025-11-29 14:25:32 - redrun - INFO - 22610099211 还需：05min
2025-11-29 14:25:32 - redrun - INFO - 22610099012 还需：05min
2025-11-29 14:26:31 - redrun - INFO - 24408010203 还需：04min
2025-11-29 14:26:31 - redrun - INFO - 24408010218 还需：04min
2025-11-29 14:26:31 - redrun - INFO - 24408010206 还需：04min
2025-11-29 14:26:32 - redrun - INFO - 22610099211 还需：04min
2025-11-29 14:26:32 - redrun - INFO - 22610099012 还需：04min
2025-11-29 14:27:31 - redrun - INFO - 24408010218 还需：03min
2025-11-29 14:27:31 - redrun - INFO - 24408010203 还需：03min
2025-11-29 14:27:31 - redrun - INFO - 24408010206 还需：03min
2025-11-29 14:27:32 - redrun - INFO - 22610099211 还需：03min
2025-11-29 14:27:32 - redrun - INFO - 22610099012 还需：03min
2025-11-29 14:28:31 - redrun - INFO - 24408010203 还需：02min
2025-11-29 14:28:31 - redrun - INFO - 24408010218 还需：02min
2025-11-29 14:28:31 - redrun - INFO - 24408010206 还需：02min
2025-11-29 14:28:32 - redrun - INFO - 22610099211 还需：02min
2025-11-29 14:28:32 - redrun - INFO - 22610099012 还需：02min
2025-11-29 14:29:31 - redrun - INFO - 24408010218 还需：01min
2025-11-29 14:29:31 - redrun - INFO - 24408010203 还需：01min
2025-11-29 14:29:31 - redrun - INFO - 24408010206 还需：01min
2025-11-29 14:29:32 - redrun - INFO - 22610099211 还需：01min
2025-11-29 14:29:32 - redrun - INFO - 22610099012 还需：01min
2025-11-29 14:30:31 - redrun - INFO - 24408010203 还需：00min
2025-11-29 14:30:31 - redrun - INFO - 24408010218 还需：00min
2025-11-29 14:30:31 - redrun - INFO - 24408010206 还需：00min
2025-11-29 14:30:32 - redrun - INFO - 22610099211 还需：00min
2025-11-29 14:30:33 - redrun - INFO - 22610099012 还需：00min
2025-11-29 14:30:36 - redrun - INFO - 22610099012 结束结果：操作成功
2025-11-29 14:30:37 - redrun - INFO - 22610099012 已记录完成信息
2025-11-29 14:31:06 - redrun - INFO - 24408010203 结束结果：操作成功
2025-11-29 14:31:07 - redrun - INFO - 24408010203 已记录完成信息
2025-11-29 14:31:19 - redrun - INFO - 24408010206 结束结果：操作成功
2025-11-29 14:31:20 - redrun - INFO - 24408010206 已记录完成信息
2025-11-29 14:31:23 - redrun - INFO - 22610099211 结束结果：操作成功
2025-11-29 14:31:24 - redrun - INFO - 22610099211 已记录完成信息
2025-11-29 14:31:26 - redrun - INFO - 24408010218 结束结果：操作成功
2025-11-29 14:31:27 - redrun - INFO - 24408010218 已记录完成信息
2025-11-29 14:31:27 - redrun - INFO - 批次处理完成
2025-11-29 14:31:27 - redrun - INFO - 开始处理批次，账号数：5
2025-11-29 14:31:27 - redrun - DEBUG - 报名请求已发送
2025-11-29 14:31:27 - redrun - DEBUG - 报名请求已发送
2025-11-29 14:31:27 - redrun - DEBUG - 报名请求已发送
2025-11-29 14:31:27 - redrun - DEBUG - 报名请求已发送
2025-11-29 14:31:27 - redrun - DEBUG - 报名请求已发送
2025-11-29 14:31:27 - redrun - INFO - 24408010103 还需：26min
2025-11-29 14:31:27 - redrun - INFO - 24413040247 还需：27min
2025-11-29 14:31:27 - redrun - INFO - 24413040252 还需：26min
2025-11-29 14:31:27 - redrun - INFO - 24408010321 还需：27min
2025-11-29 14:31:27 - redrun - INFO - 24408010205 还需：27min
2025-11-29 14:32:27 - redrun - INFO - 24408010103 还需：25min
2025-11-29 14:32:27 - redrun - INFO - 24413040247 还需：26min
2025-11-29 14:32:27 - redrun - INFO - 24408010205 还需：26min
2025-11-29 14:32:27 - redrun - INFO - 24408010321 还需：26min
2025-11-29 14:32:27 - redrun - INFO - 24413040252 还需：25min
2025-11-29 17:49:20 - redrun - INFO - 开始处理批次，账号数：5
2025-11-29 17:49:20 - redrun - DEBUG - 报名请求已发送
2025-11-29 17:49:20 - redrun - DEBUG - 报名请求已发送
2025-11-29 17:49:20 - redrun - DEBUG - 报名请求已发送
2025-11-29 17:49:20 - redrun - INFO - 24413040252 还需：27min
2025-11-29 17:49:20 - redrun - INFO - 24408010321 还需：27min
2025-11-29 17:49:20 - redrun - INFO - 24413040247 还需：26min
2025-11-29 17:49:21 - redrun - DEBUG - 报名请求已发送
2025-11-29 17:49:21 - redrun - DEBUG - 报名请求已发送
2025-11-29 17:49:21 - redrun - INFO - 24408010103 还需：26min
2025-11-29 17:49:21 - redrun - INFO - 24408010205 还需：28min
2025-11-29 17:50:20 - redrun - INFO - 24413040252 还需：26min
2025-11-29 17:50:20 - redrun - INFO - 24408010321 还需：26min
2025-11-29 17:50:20 - redrun - INFO - 24413040247 还需：25min
2025-11-29 17:50:21 - redrun - INFO - 24408010103 还需：25min
2025-11-29 17:50:21 - redrun - INFO - 24408010205 还需：27min
2025-11-29 17:51:20 - redrun - INFO - 24413040252 还需：25min
2025-11-29 17:51:20 - redrun - INFO - 24408010321 还需：25min
2025-11-29 17:51:20 - redrun - INFO - 24413040247 还需：24min
2025-11-29 17:51:21 - redrun - INFO - 24408010103 还需：24min
2025-11-29 17:51:21 - redrun - INFO - 24408010205 还需：26min
2025-11-29 17:52:20 - redrun - INFO - 24413040252 还需：24min
2025-11-29 17:52:20 - redrun - INFO - 24408010321 还需：24min
2025-11-29 17:52:20 - redrun - INFO - 24413040247 还需：23min
2025-11-29 17:52:21 - redrun - INFO - 24408010103 还需：23min
2025-11-29 17:52:21 - redrun - INFO - 24408010205 还需：25min
2025-11-29 17:53:20 - redrun - INFO - 24413040252 还需：23min
2025-11-29 17:53:20 - redrun - INFO - 24408010321 还需：23min
2025-11-29 17:53:20 - redrun - INFO - 24413040247 还需：22min
2025-11-29 17:53:21 - redrun - INFO - 24408010103 还需：22min
2025-11-29 17:53:21 - redrun - INFO - 24408010205 还需：24min
2025-11-29 17:54:20 - redrun - INFO - 24413040252 还需：22min
2025-11-29 17:54:20 - redrun - INFO - 24408010321 还需：22min
2025-11-29 17:54:20 - redrun - INFO - 24413040247 还需：21min
2025-11-29 17:54:21 - redrun - INFO - 24408010103 还需：21min
2025-11-29 17:54:21 - redrun - INFO - 24408010205 还需：23min
2025-11-29 17:55:20 - redrun - INFO - 24413040252 还需：21min
2025-11-29 17:55:20 - redrun - INFO - 24408010321 还需：21min
2025-11-29 17:55:20 - redrun - INFO - 24413040247 还需：20min
2025-11-29 17:55:21 - redrun - INFO - 24408010103 还需：20min
2025-11-29 17:55:21 - redrun - INFO - 24408010205 还需：22min
2025-11-29 17:56:20 - redrun - INFO - 24408010321 还需：20min
2025-11-29 17:56:20 - redrun - INFO - 24413040252 还需：20min
2025-11-29 17:56:21 - redrun - INFO - 24413040247 还需：19min
2025-11-29 17:56:21 - redrun - INFO - 24408010103 还需：19min
2025-11-29 17:56:21 - redrun - INFO - 24408010205 还需：21min
2025-11-29 17:57:21 - redrun - INFO - 24408010321 还需：19min
2025-11-29 17:57:21 - redrun - INFO - 24413040252 还需：19min
2025-11-29 17:57:21 - redrun - INFO - 24413040247 还需：18min
2025-11-29 17:57:21 - redrun - INFO - 24408010103 还需：18min
2025-11-29 17:57:21 - redrun - INFO - 24408010205 还需：20min
2025-11-29 17:58:21 - redrun - INFO - 24413040252 还需：18min
2025-11-29 17:58:21 - redrun - INFO - 24408010321 还需：18min
